3850,25;3856;3862;3828
3856;3862;3828;3839,5
3862;3828;3839,5;3844,2
3828;3839,5;3844,2;3833
3839,5;3844,2;3833;3829,59
3844,2;3833;3829,59;3871
3833;3829,59;3871;3845,5
3829,59;3871;3845,5;3827
3871;3845,5;3827;3886,95
3845,5;3827;3886,95;3873
3827;3886,95;3873;3887
3886,95;3873;3887;3863,6
3873;3887;3863,6;3813,3
3887;3863,6;3813,3;3790,54
3863,6;3813,3;3790,54;3725,37
3813,3;3790,54;3725,37;3714,65
3790,54;3725,37;3714,65;3703,86
3725,37;3714,65;3703,86;3683,49
3714,65;3703,86;3683,49;3697
3703,86;3683,49;3697;3709
3683,49;3697;3709;3700,28
3697;3709;3700,28;3717,25
3709;3700,28;3717,25;3757,21
3700,28;3717,25;3757,21;3702,62
3717,25;3757,21;3702,62;3702,62
3757,21;3702,62;3702,62;3653,23
3702,62;3702,62;3653,23;3653,7
3702,62;3653,23;3653,7;3683,28
3653,23;3653,7;3683,28;3745,41
3653,7;3683,28;3745,41;3760,38
3683,28;3745,41;3760,38;3820,17
3745,41;3760,38;3820,17;3846,64
3760,38;3820,17;3846,64;3867,32
3820,17;3846,64;3867,32;3843,69
3846,64;3867,32;3843,69;3827,27
3867,32;3843,69;3827,27;3792,13
3843,69;3827,27;3792,13;3766,73
3827,27;3792,13;3766,73;3784,15
3792,13;3766,73;3784,15;3783,15
3766,73;3784,15;3783,15;3783,15
3784,15;3783,15;3783,15;3767,05
3783,15;3783,15;3767,05;3755,61
3783,15;3767,05;3755,61;3749,3
3767,05;3755,61;3749,3;3770,22
3755,61;3749,3;3770,22;3769,67
3749,3;3770,22;3769,67;3769,67
3770,22;3769,67;3769,67;3775,95
3769,67;3769,67;3775,95;3792,98
3769,67;3775,95;3792,98;3733,08
3775,95;3792,98;3733,08;3739,49
3792,98;3733,08;3739,49;3716,89
3733,08;3739,49;3716,89;3718,69
3739,49;3716,89;3718,69;3679,17
3716,89;3718,69;3679,17;3690,8
3718,69;3679,17;3690,8;3660,15
3679,17;3690,8;3660,15;3627,28
3690,8;3660,15;3627,28;3628,2
3660,15;3627,28;3628,2;3651,93
3627,28;3628,2;3651,93;3651,93
3628,2;3651,93;3651,93;3627,86
3651,93;3651,93;3627,86;3611,61
3651,93;3627,86;3611,61;3638,22
3627,86;3611,61;3638,22;3617,22
3611,61;3638,22;3617,22;3615,75
3638,22;3617,22;3615,75;3633,42
3617,22;3615,75;3633,42;3625,61
3615,75;3633,42;3625,61;3631,54
3633,42;3625,61;3631,54;3633,32
3625,61;3631,54;3633,32;3645,9
3631,54;3633,32;3645,9;3660,18
3633,32;3645,9;3660,18;3723,67
3645,9;3660,18;3723,67;3756,28
3660,18;3723,67;3756,28;3758,91
3723,67;3756,28;3758,91;3758,91
3756,28;3758,91;3758,91;3735,93
3758,91;3758,91;3735,93;3722,27
3758,91;3735,93;3722,27;3706,06
3735,93;3722,27;3706,06;3733,27
3722,27;3706,06;3733,27;3733,27
3706,06;3733,27;3733,27;3760,22
3733,27;3733,27;3760,22;3749,03
3733,27;3760,22;3749,03;3741,88
3760,22;3749,03;3741,88;3758,15
3749,03;3741,88;3758,15;3758,15
3741,88;3758,15;3758,15;3746,46
3758,15;3758,15;3746,46;3674,81
3758,15;3746,46;3674,81;3643,02
3746,46;3674,81;3643,02;3599
3674,81;3643,02;3599;3565,06
3643,02;3599;3565,06;3597,47
3599;3565,06;3597,47;3588,89
3565,06;3597,47;3588,89;3651,42
3597,47;3588,89;3651,42;3716,35
3588,89;3651,42;3716,35;3718,82
3651,42;3716,35;3718,82;3723,42
3716,35;3718,82;3723,42;3743,79
3718,82;3723,42;3743,79;3725,56
3723,42;3743,79;3725,56;3782,66
3743,79;3725,56;3782,66;3782,66
3725,56;3782,66;3782,66;3774,25
3782,66;3782,66;3774,25;3804,12
3782,66;3774,25;3804,12;3824,3
3774,25;3804,12;3824,3;3851,07
3804,12;3824,3;3851,07;3926,06
3824,3;3851,07;3926,06;3947,79
3851,07;3926,06;3947,79;3901,3
3926,06;3947,79;3901,3;3880,48
3947,79;3901,3;3880,48;3901,34
3901,3;3880,48;3901,34;3882,27
3880,48;3901,34;3882,27;3924,54
3901,34;3882,27;3924,54;3961,66
3882,27;3924,54;3961,66;3926,07
3924,54;3961,66;3926,07;3990,1
3961,66;3926,07;3990,1;3932,72
3926,07;3990,1;3932,72;3932,72
3990,1;3932,72;3932,72;3983,29
3932,72;3932,72;3983,29;4046,04
3932,72;3983,29;4046,04;4039,83
3983,29;4046,04;4039,83;4039,87
4046,04;4039,83;4039,87;4020,94
4039,83;4039,87;4020,94;4037,95
4039,87;4020,94;4037,95;4045,01
4020,94;4037,95;4045,01;3967,76
4037,95;4045,01;3967,76;3973,06
4045,01;3967,76;3973,06;3942,92
3967,76;3973,06;3942,92;3920,83
3973,06;3942,92;3920,83;3858,21
3942,92;3920,83;3858,21;3870,31
3920,83;3858,21;3870,31;3886,79
3858,21;3870,31;3886,79;3886,79
3870,31;3886,79;3886,79;3910,15
3886,79;3886,79;3910,15;3978,38
3886,79;3910,15;3978,38;4008,78
3910,15;3978,38;4008,78;4065,5
3978,38;4008,78;4065,5;4081,06
4008,78;4065,5;4081,06;4054,54
4065,5;4081,06;4054,54;4064,81
4081,06;4054,54;4064,81;4042,8
4054,54;4064,81;4042,8;3995,83
4064,81;4042,8;3995,83;4086,34
4042,8;3995,83;4086,34;4104,9
3995,83;4086,34;4104,9;4079,96
4086,34;4104,9;4079,96;4079,96
4104,9;4079,96;4079,96;4153,91
4079,96;4079,96;4153,91;4128,38
4079,96;4153,91;4128,38;4044,55
4153,91;4128,38;4044,55;4099,93
4128,38;4044,55;4099,93;3941,92
4044,55;4099,93;3941,92;4034,66
4099,93;3941,92;4034,66;3835,15
3941,92;4034,66;3835,15;3780,39
4034,66;3835,15;3780,39;3803,6
3835,15;3780,39;3803,6;3584,58
3780,39;3803,6;3584,58;3522,41
3803,6;3584,58;3522,41;3458,45
3584,58;3522,41;3458,45;3455,56
3522,41;3458,45;3455,56;3512,17
3458,45;3455,56;3512,17;3539,86
3455,56;3512,17;3539,86;3507,11
3512,17;3539,86;3507,11;3441,88
3539,86;3507,11;3441,88;3425,22
3507,11;3441,88;3425,22;3431,6
3441,88;3425,22;3431,6;3398,05
3425,22;3431,6;3398,05;3403,5
3431,6;3398,05;3403,5;3400,98
3398,05;3403,5;3400,98;3410,24
3403,5;3400,98;3410,24;3378,29
3400,98;3410,24;3378,29;3378,29
3410,24;3378,29;3378,29;3385,11
3378,29;3378,29;3385,11;3394,8
3378,29;3385,11;3394,8;3432,89
3385,11;3394,8;3432,89;3440,96
3394,8;3432,89;3440,96;3408,35
3432,89;3440,96;3408,35;3378,43
3440,96;3408,35;3378,43;3355,44
3408,35;3378,43;3355,44;3368,87
3378,43;3355,44;3368,87;3401,56
3355,44;3368,87;3401,56;3423,24
3368,87;3401,56;3423,24;3411,45
3401,56;3423,24;3411,45;3395,1
3423,24;3411,45;3395,1;3392,6
3411,45;3395,1;3392,6;3398,4
3395,1;3392,6;3398,4;3353,76
3392,6;3398,4;3353,76;3337,77
3398,4;3353,76;3337,77;3347,91
3353,76;3337,77;3347,91;3320,77
3337,77;3347,91;3320,77;3320,77
3347,91;3320,77;3320,77;3313,4
3320,77;3320,77;3313,4;3296,74
3320,77;3313,4;3296,74;3278,83
3313,4;3296,74;3278,83;3288,05
3296,74;3278,83;3288,05;3272,62
3278,83;3288,05;3272,62;3253,89
3288,05;3272,62;3253,89;3254,42
3272,62;3253,89;3254,42;3264,26
3253,89;3254,42;3264,26;3262,05
3254,42;3264,26;3262,05;3262,05
3264,26;3262,05;3262,05;3258,84
3262,05;3262,05;3258,84;3277,14
3262,05;3258,84;3277,14;3277,14
3258,84;3277,14;3277,14;3294,05
3277,14;3277,14;3294,05;3281,4
3277,14;3294,05;3281,4;3305,84
3294,05;3281,4;3305,84;3316,92
3281,4;3305,84;3316,92;3325,47
3305,84;3316,92;3325,47;3322,38
3316,92;3325,47;3322,38;3329,98
3325,47;3322,38;3329,98;3347,86
3322,38;3329,98;3347,86;3364,24
3329,98;3347,86;3364,24;3374,29
3347,86;3364,24;3374,29;3372,23
3364,24;3374,29;3372,23;3387,73
3374,29;3372,23;3387,73;3418,61
3372,23;3387,73;3418,61;3418,48
3387,73;3418,61;3418,48;3430,31
3418,61;3418,48;3430,31;3459,97
3418,48;3430,31;3459,97;3478,57
3430,31;3459,97;3478,57;3506,67
3459,97;3478,57;3506,67;3508,39
3478,57;3506,67;3508,39;3522,48
3506,67;3508,39;3522,48;3502,92
3508,39;3522,48;3502,92;3502,92
3522,48;3502,92;3502,92;3469,01
3502,92;3502,92;3469,01;3433,94
3502,92;3469,01;3433,94;3410,77
3469,01;3433,94;3410,77;3440,66
3433,94;3410,77;3440,66;3445,95
3410,77;3440,66;3445,95;3434,49
3440,66;3445,95;3434,49;3447,74
3445,95;3434,49;3447,74;3421,26
3434,49;3447,74;3421,26;3452,67
3447,74;3421,26;3452,67;3441,89
3421,26;3452,67;3441,89;3384,21
3452,67;3441,89;3384,21;3341,01
3441,89;3384,21;3341,01;3341,01
3384,21;3341,01;3341,01;3327,02
3341,01;3341,01;3327,02;3319,64
3341,01;3327,02;3319,64;3318,47
3327,02;3319,64;3318,47;3339,19
3319,64;3318,47;3339,19;3339,19
3318,47;3339,19;3339,19;3383,29
3339,19;3339,19;3383,29;3389,94
3339,19;3383,29;3389,94;3380,9
3383,29;3389,94;3380,9;3382,19
3389,94;3380,9;3382,19;3395,25
3380,9;3382,19;3395,25;3387,72
3382,19;3395,25;3387,72;3409,29
3395,25;3387,72;3409,29;3430,3
3387,72;3409,29;3430,3;3442,78
3409,29;3430,3;3442,78;3428,63
3430,3;3442,78;3428,63;3465,35
3442,78;3428,63;3465,35;3459,55
3428,63;3465,35;3459,55;3451,33
3465,35;3459,55;3451,33;3431,46
3459,55;3451,33;3431,46;3431,46
3451,33;3431,46;3431,46;3458,42
3431,46;3431,46;3458,42;3454,56
3431,46;3458,42;3454,56;3452,57
3458,42;3454,56;3452,57;3445,76
3454,56;3452,57;3445,76;3430,28
3452,57;3445,76;3430,28;3467,6
3445,76;3430,28;3467,6;3497,34
3430,28;3467,6;3497,34;3491,29
3467,6;3497,34;3491,29;3477,45
3497,34;3491,29;3477,45;3462,01
3491,29;3477,45;3462,01;3435,71
3477,45;3462,01;3435,71;3451,02
3462,01;3435,71;3451,02;3438,66
3435,71;3451,02;3438,66;3437,78
3451,02;3438,66;3437,78;3402,32
3438,66;3437,78;3402,32;3377,72
3437,78;3402,32;3377,72;3377,79
3402,32;3377,72;3377,79;3380,92
3377,72;3377,79;3380,92;3364,43
3377,79;3380,92;3364,43;3356,15
3380,92;3364,43;3356,15;3359,2
3364,43;3356,15;3359,2;3372,48
